SAMPLE_KEY,PLATE_ID,WELL_POSITION,SITE,IMG_Hoechst,IMG_ERSyto,IMG_Ph_golgi,IMG_Mito,IMG_ERSytoBleed
P102785-A13-1,P102785,A13,1,A13_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A13_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A13_s1_x0_y0_Fluorescence_561_nm_Ex.tiff,A13_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A13_s1_x0_y0_Fluorescence_730_nm_Ex.tiff
P102785-A13-2,P102785,A13,2,A13_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A13_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A13_s2_x1_y0_Fluorescence_561_nm_Ex.tiff,A13_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A13_s2_x1_y0_Fluorescence_730_nm_Ex.tiff
P102785-A13-3,P102785,A13,3,A13_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A13_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A13_s3_x2_y0_Fluorescence_561_nm_Ex.tiff,A13_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A13_s3_x2_y0_Fluorescence_730_nm_Ex.tiff
P102785-A13-4,P102785,A13,4,A13_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A13_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A13_s4_x0_y1_Fluorescence_561_nm_Ex.tiff,A13_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A13_s4_x0_y1_Fluorescence_730_nm_Ex.tiff
P102785-A13-5,P102785,A13,5,A13_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A13_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A13_s5_x1_y1_Fluorescence_561_nm_Ex.tiff,A13_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A13_s5_x1_y1_Fluorescence_730_nm_Ex.tiff
P102785-A13-6,P102785,A13,6,A13_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A13_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A13_s6_x2_y1_Fluorescence_561_nm_Ex.tiff,A13_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A13_s6_x2_y1_Fluorescence_730_nm_Ex.tiff
P102785-A13-7,P102785,A13,7,A13_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A13_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A13_s7_x0_y2_Fluorescence_561_nm_Ex.tiff,A13_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A13_s7_x0_y2_Fluorescence_730_nm_Ex.tiff
P102785-A13-8,P102785,A13,8,A13_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A13_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A13_s8_x1_y2_Fluorescence_561_nm_Ex.tiff,A13_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A13_s8_x1_y2_Fluorescence_730_nm_Ex.tiff
P102785-A13-9,P102785,A13,9,A13_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A13_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A13_s9_x2_y2_Fluorescence_561_nm_Ex.tiff,A13_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A13_s9_x2_y2_Fluorescence_730_nm_Ex.tiff
P102785-A17-1,P102785,A17,1,A17_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A17_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A17_s1_x0_y0_Fluorescence_561_nm_Ex.tiff,A17_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A17_s1_x0_y0_Fluorescence_730_nm_Ex.tiff
P102785-A17-2,P102785,A17,2,A17_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A17_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A17_s2_x1_y0_Fluorescence_561_nm_Ex.tiff,A17_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A17_s2_x1_y0_Fluorescence_730_nm_Ex.tiff
P102785-A17-3,P102785,A17,3,A17_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A17_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A17_s3_x2_y0_Fluorescence_561_nm_Ex.tiff,A17_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A17_s3_x2_y0_Fluorescence_730_nm_Ex.tiff
P102785-A17-4,P102785,A17,4,A17_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A17_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A17_s4_x0_y1_Fluorescence_561_nm_Ex.tiff,A17_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A17_s4_x0_y1_Fluorescence_730_nm_Ex.tiff
P102785-A17-5,P102785,A17,5,A17_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A17_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A17_s5_x1_y1_Fluorescence_561_nm_Ex.tiff,A17_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A17_s5_x1_y1_Fluorescence_730_nm_Ex.tiff
P102785-A17-6,P102785,A17,6,A17_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A17_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A17_s6_x2_y1_Fluorescence_561_nm_Ex.tiff,A17_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A17_s6_x2_y1_Fluorescence_730_nm_Ex.tiff
P102785-A17-7,P102785,A17,7,A17_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A17_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A17_s7_x0_y2_Fluorescence_561_nm_Ex.tiff,A17_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A17_s7_x0_y2_Fluorescence_730_nm_Ex.tiff
P102785-A17-8,P102785,A17,8,A17_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A17_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A17_s8_x1_y2_Fluorescence_561_nm_Ex.tiff,A17_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A17_s8_x1_y2_Fluorescence_730_nm_Ex.tiff
P102785-A17-9,P102785,A17,9,A17_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A17_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A17_s9_x2_y2_Fluorescence_561_nm_Ex.tiff,A17_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A17_s9_x2_y2_Fluorescence_730_nm_Ex.tiff
P102785-A18-1,P102785,A18,1,A18_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A18_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A18_s1_x0_y0_Fluorescence_561_nm_Ex.tiff,A18_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A18_s1_x0_y0_Fluorescence_730_nm_Ex.tiff
P102785-A18-2,P102785,A18,2,A18_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A18_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A18_s2_x1_y0_Fluorescence_561_nm_Ex.tiff,A18_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A18_s2_x1_y0_Fluorescence_730_nm_Ex.tiff
P102785-A18-3,P102785,A18,3,A18_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A18_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A18_s3_x2_y0_Fluorescence_561_nm_Ex.tiff,A18_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A18_s3_x2_y0_Fluorescence_730_nm_Ex.tiff
P102785-A18-4,P102785,A18,4,A18_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A18_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A18_s4_x0_y1_Fluorescence_561_nm_Ex.tiff,A18_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A18_s4_x0_y1_Fluorescence_730_nm_Ex.tiff
